[2026-07-21 16:34:05,663][root][INFO] - Exporting features to /home/hiro/2d3d-efficient-pairing/OnePose/data/sfm_model/0501-matchafranzzi-box/outputs_superpoint_superglue/feats-superpoint.h5
[2026-07-21 16:34:09,410][root][INFO] - Finishing exporting features.
[2026-07-21 16:34:09,808][root][INFO] - Exporting matches to /home/hiro/2d3d-efficient-pairing/OnePose/data/sfm_model/0501-matchafranzzi-box/outputs_superpoint_superglue/matches-superglue.h5
[2026-07-21 16:35:02,451][root][INFO] - Finishing exporting matches.
[2026-07-21 16:35:02,453][root][INFO] - Generate empty model...
[2026-07-21 16:35:03,069][root][INFO] - Writing the COLMAP model to /home/hiro/2d3d-efficient-pairing/OnePose/data/sfm_model/0501-matchafranzzi-box/outputs_superpoint_superglue/sfm_empty
[2026-07-21 16:35:03,076][root][INFO] - Finishing writing model.
[2026-07-21 16:42:30,385][root][INFO] - Exporting features to /home/hiro/2d3d-efficient-pairing/OnePose/data/sfm_model/0501-matchafranzzi-box/outputs_superpoint_superglue/feats-superpoint.h5
[2026-07-21 16:42:34,210][root][INFO] - Finishing exporting features.
[2026-07-21 16:42:34,578][root][INFO] - Exporting matches to /home/hiro/2d3d-efficient-pairing/OnePose/data/sfm_model/0501-matchafranzzi-box/outputs_superpoint_superglue/matches-superglue.h5
[2026-07-21 16:43:24,332][root][INFO] - Finishing exporting matches.
[2026-07-21 16:43:24,334][root][INFO] - Generate empty model...
[2026-07-21 16:43:24,907][root][INFO] - Writing the COLMAP model to /home/hiro/2d3d-efficient-pairing/OnePose/data/sfm_model/0501-matchafranzzi-box/outputs_superpoint_superglue/sfm_empty
[2026-07-21 16:43:24,914][root][INFO] - Finishing writing model.
[2026-07-21 16:43:24,987][root][INFO] - Importing features into the database...
[2026-07-21 16:43:25,033][root][INFO] - Importing matches into the database...
[2026-07-21 16:43:25,203][root][INFO] - Performing geometric verification of the matches...
[2026-07-21 16:43:26,138][root][WARNING] - Problem with matches_importer, existing.
[2026-07-21 16:46:05,151][root][INFO] - Exporting features to /home/hiro/2d3d-efficient-pairing/OnePose/data/sfm_model/0501-matchafranzzi-box/outputs_superpoint_superglue/feats-superpoint.h5
[2026-07-21 16:46:08,312][root][INFO] - Finishing exporting features.
[2026-07-21 16:46:08,658][root][INFO] - Exporting matches to /home/hiro/2d3d-efficient-pairing/OnePose/data/sfm_model/0501-matchafranzzi-box/outputs_superpoint_superglue/matches-superglue.h5
[2026-07-21 16:46:58,730][root][INFO] - Finishing exporting matches.
[2026-07-21 16:46:58,732][root][INFO] - Generate empty model...
[2026-07-21 16:46:59,286][root][INFO] - Writing the COLMAP model to /home/hiro/2d3d-efficient-pairing/OnePose/data/sfm_model/0501-matchafranzzi-box/outputs_superpoint_superglue/sfm_empty
[2026-07-21 16:46:59,293][root][INFO] - Finishing writing model.
[2026-07-21 16:46:59,380][root][INFO] - Importing features into the database...
[2026-07-21 16:46:59,427][root][INFO] - Importing matches into the database...
[2026-07-21 16:47:01,870][root][INFO] - Performing geometric verification of the matches...
[2026-07-21 16:47:02,049][root][WARNING] - Problem with matches_importer, existing.
[2026-07-21 17:36:22,557][root][INFO] - Exporting features to /home/hiro/2d3d-efficient-pairing/OnePose/data/sfm_model/0501-matchafranzzi-box/outputs_superpoint_superglue/feats-superpoint.h5
[2026-07-21 17:36:26,166][root][INFO] - Finishing exporting features.
[2026-07-21 17:36:26,648][root][INFO] - Exporting matches to /home/hiro/2d3d-efficient-pairing/OnePose/data/sfm_model/0501-matchafranzzi-box/outputs_superpoint_superglue/matches-superglue.h5
[2026-07-21 17:37:16,684][root][INFO] - Finishing exporting matches.
